PR Number,Issue Number,Files,Date Committed,Date Closed,Author,Title,Body,Comments
1226,lencx-patch-4,README.md,2024-03-11T11:13:28Z,2024-03-11T11:13:34Z,lencx,chore: add Noi,,
1223,patch-1,src/view/about/index.tsx,2024-03-10T18:36:37Z,2024-03-11T02:52:08Z,webbertakken,fix: couple of typos in about,"Fix accidental space 
![image](https://github.com/lencx/ChatGPT/assets/20756439/81eacdd9-4d4c-4324-afdc-31d98fc8ec5c)
",
1200,lencx-patch-3,README.md,2024-01-29T10:34:05Z,2024-01-29T10:34:14Z,lencx,add Noi,,
1172,main,casks/chatgpt.rb,2023-12-13T09:26:57Z,2024-03-11T02:52:22Z,wubaiqing,fix: brew cask version number,update brew cask version number,
1101,patch-1,Chatgpt,2023-10-17T07:21:04Z,2024-03-11T02:51:02Z,Aabbcc22,Create Chatgp,Welcome to CHATGPT,
1083,main,README.md,2023-10-07T17:04:01Z,2023-10-26T13:47:37Z,isbrakha,Edited the README.md file,,
1074,patch-2,README.md,2023-09-22T05:42:30Z,2023-09-22T05:45:35Z,asheroto,Update README.md,Fixed extra parentheses in Features,
1017,main,".gitignore, scripts/export.js",2023-07-27T06:50:53Z,2023-08-03T08:25:28Z,djdarcy,Improved exportMarkdown() & getName() to better preserve user input,"The changes to `scripts/export.js` below add better support to:
* maintain proper carriage returns in the markdown output
* retain indentation by converting appropriate whitespace (spaces, tabs, etc) to `&nbsp;` and then calling ExportMD

There is also some stub code to improve the readability of the exported filenames, but this will likely also require changes to some of the Rust code.",
988,lencx-patch-3,README.md,2023-07-05T14:50:00Z,2023-07-05T14:50:07Z,lencx,readme,,
985,lencx-patch-2,README.md,2023-07-05T03:27:28Z,2023-07-05T03:27:34Z,lencx,readme,,
984,main,.github/ISSUE_TEMPLATE/bug_report.yml,2023-07-01T05:25:43Z,2023-07-04T06:02:47Z,asheroto,Update Issue template to avoid non-package Issues,"I noticed that many people are creating an issue for things that have nothing to do with this package.

To help prevent against non-package issues, I have added some additional information at the top, as well as added a checkbox requiring people to check that the issue does not occur on ChatGPT and only in this app. 😊",
979,main,scripts/core.js,2023-06-28T07:41:37Z,2023-06-30T15:59:20Z,tk103331,fix: ui adaptation for no titlebar,"
<img width=""800"" alt=""image"" src=""https://github.com/lencx/ChatGPT/assets/4404609/1aa49311-7592-4f66-af92-1fec6fd593d8"">


<img width=""472"" alt=""image"" src=""https://github.com/lencx/ChatGPT/assets/4404609/8827a628-8873-4729-be7b-1a6166df589d"">

<img width=""472"" alt=""image"" src=""https://github.com/lencx/ChatGPT/assets/4404609/be4dd67a-a981-419d-bf1c-338c29586eb9"">


",
918,patch-1,casks/chatgpt.rb,2023-05-25T15:24:53Z,2023-05-26T08:16:11Z,karbassi,Update Brewfile to 1.0.0,,
914,lencx-patch-1,scripts/export.js,2023-05-25T06:29:12Z,2023-05-25T06:29:18Z,lencx,fix: export.js,,
912,dev,".github/workflows/release.yml, Cargo.lock, README-ZH_CN.md, README.md, UPDATE_LOG.md, package.json, pnpm-lock.yaml, public/bmc.png, public/wxp.png, scripts/README.md, scripts/chat.js, scripts/cmd.js, scripts/core.js, scripts/dalle2.js, scripts/export.js, scripts/main.js, scripts/manifest.json, scripts/popup.core.js, sponsor.html, src-tauri/Cargo.toml, src-tauri/src/app/cmd.rs, src-tauri/src/app/gpt.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/mod.rs, src-tauri/src/app/script.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/template.rs, src-tauri/src/app/window.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs",2023-05-25T05:24:07Z,2023-05-25T05:24:45Z,lencx,chore: optim,,
862,patch-1,README.md,2023-04-26T16:22:10Z,2023-04-26T16:25:34Z,pianex,Update README.md,,
837,translation-ru,"README.md, docs/README-RU.md, docs/README-ZH_CN.md",2023-04-19T12:05:31Z,2023-05-06T14:56:03Z,TungusSs,"Added Russian translation, updated README and improved project structure","Greetings, this is my first PR, please be patient if I did something wrong 😄.
I added Russian translation of README and Russian flag icon in the main README to indicate availability of translated version (README-ru.md). This is done to improve accessibility for Russian-speaking users. Also I made a `docs` folder, where all the README translations will be kept and moved README-ZN_CN.md in that folder. If you want, you can make it for other documents (not only README) in the future.
Please forgive me for misprints or translation errors, if I missed something, please point out my mistakes, I will be grateful to you and I will correct them, also you can commit in my PR too.",
812,PrimeChatGPT,".github/workflows/release.yml, README-ZH_CN.md, README.md, src-tauri/src/app/menu.rs",2023-04-14T05:37:38Z,2023-04-14T05:39:21Z,prime-shepherd,Prime chat gpt,,
723,main,src-tauri/src/app/menu.rs,2023-03-28T03:29:00Z,2023-03-28T03:56:48Z,cauyxy,Change tray window position,"Before this merge，please review [tauri-plugins-workspace](https://github.com/lencx/tauri-plugins-workspace/pull/1)
Change tray window position from center to fixed center on left click event",
697,shengwusuoxi-patch-1,.github/workflows/release.yml,2023-03-23T06:12:18Z,2023-03-25T16:53:39Z,shengwusuoxi,Update release.yml,fix action config,
666,patch-1,README.md,2023-03-20T09:04:39Z,2023-03-20T09:13:39Z,onatkarabulut,Update README.md,"I changed the following lines in the installation for Linux --> [83,84]",
660,doc,README.md,2023-03-19T11:46:30Z,2023-03-19T11:46:37Z,lencx,readme,,
612,patch-1,Dln,2023-03-11T02:56:30Z,2023-06-01T16:13:33Z,dolonhunt,Create Dln,,
596,mymymy,"README.md, assets/apple-mac.png, assets/chatGPT-Desktop.jpg, assets/debian.png, assets/linux.png, assets/ubuntu.png, assets/windows.png, assets/windows_.png, chat.model.md, docs/Chinese_ZH_CN/README-ZH_CN.md, docs/FAQ/faq.md, docs/contribute-docs/CODE_OF_CONDUCT.md, docs/contribute-docs/CONTRIBUTING.md, docs/development/development.md, docs/documentation/application-config.md, docs/documentation/custom-sync.md, docs/documentation/official-docs.md, docs/documentation/previews.md, docs/install-docs/linux-install.md, docs/install-docs/mac-install.md, docs/install-docs/windows-install.md, docs/legacy-docs/ORG_README.md, docs/prompts-docs/AWESOME.md, docs/prompts-docs/chat.model.md, docs/prompts-docs/prompts-readme.md, docs/system/UPDATE_LOG.md",2023-03-09T00:01:33Z,2023-03-09T00:49:11Z,myw84m3,Mymymy,,
572,main,src/view/settings/General.tsx,2023-03-06T04:54:46Z,2023-03-06T08:28:09Z,tk103331,fix:windows voices is empty,"use voices change event to update voices list.

fix: https://github.com/lencx/ChatGPT/issues/571

![image](https://user-images.githubusercontent.com/4404609/223022259-557c7525-fc5e-486e-b08f-ea9b504d6cc6.png)
",
561,dev,".github/workflows/release.yml, README-ZH_CN.md, README.md, UPDATE_LOG.md, casks/chatgpt.rb, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/conf.rs, src-tauri/src/scripts/chat.js, src-tauri/src/scripts/cmd.js, src-tauri/src/scripts/export.js, src-tauri/tauri.conf.json, src/view/settings/General.tsx",2023-03-05T04:44:52Z,2023-03-05T04:45:10Z,lencx,feat: tts (#534),,
549,dev,"README-ZH_CN.md, README.md",2023-03-04T02:37:49Z,2023-03-04T02:37:57Z,lencx,readme,,
548,dev,.github/workflows/release.yml,2023-03-04T02:28:01Z,2023-03-04T02:28:08Z,lencx,chore: action,,
547,dev,".github/workflows/release.yml, Cargo.lock, README-ZH_CN.md, README.md, UPDATE_LOG.md, package.json, src-tauri/Cargo.toml, src-tauri/src/app/menu.rs, src-tauri/src/conf.rs, src-tauri/src/scripts/cmd.js, src-tauri/src/scripts/export.js, src-tauri/tauri.conf.json, src/view/about/index.tsx",2023-03-04T02:14:28Z,2023-03-04T02:15:15Z,lencx,chore: allowlist,,
507,dev,"README-ZH_CN.md, README.md",2023-02-25T16:24:16Z,2023-02-25T16:24:24Z,lencx,readme,,
506,dev,UPDATE_LOG.md,2023-02-25T16:14:31Z,2023-02-25T16:14:37Z,lencx,readme,,
505,dev,README.md,2023-02-25T15:56:46Z,2023-02-25T15:56:52Z,lencx,readme,,
504,dev,"README-ZH_CN.md, README.md",2023-02-25T15:47:57Z,2023-02-25T15:48:05Z,lencx,readme,,
495,dev,LICENSE,2023-02-24T02:23:19Z,2023-02-24T02:23:26Z,lencx,LICENSE,,
491,patch-1,src/view/settings/index.tsx,2023-02-23T17:45:34Z,2023-02-24T09:56:45Z,sharunkumar,fix: better user confirmation message,,
479,dev,LICENSE,2023-02-22T07:59:50Z,2023-02-22T07:59:56Z,lencx,LICENSE,,
478,dev,UPDATE_LOG.md,2023-02-22T06:42:32Z,2023-02-22T06:42:41Z,lencx,log,,
476,dev,"README-ZH_CN.md, README.md",2023-02-22T06:23:40Z,2023-02-22T06:23:47Z,lencx,readme,,
475,dev,"README-ZH_CN.md, README.md",2023-02-22T05:26:37Z,2023-02-22T05:26:43Z,lencx,readme,,
472,main,"README.md, src-tauri/Cargo.toml",2023-02-21T22:21:27Z,2023-02-22T06:25:38Z,qbdq,Typo fixes commit,"Some minor typo fixes 📝, no experience in rust 💯, love the work❤️ ",
464,fix/node-version-compatible-issue,".npmrc, package.json",2023-02-21T03:27:46Z,2023-02-21T03:31:40Z,mrdulin,fix: node version campatible issue,"[issue](https://github.com/lencx/ChatGPT/issues/463)

English: If the user has incompatible Nodejs version, `pnpm install` will throw an error and prevent installing packages. 
Chinese: 开启engine-strict，nodejs版本与engines字段指定的版本不兼容，则报错并阻止用户安装package

For example:

```bash
$ sudo n node/15.14.0
   installed : v15.14.0 (with npm 7.7.6)

$ pnpm install 
 ERR_PNPM_UNSUPPORTED_ENGINE  Unsupported environment (bad pnpm and/or Node.js version)

Your Node version is incompatible with ""/Users/dulin/workspace/github.com/mrdulin/ChatGPT"".

Expected version: ^14.18.0 || ^16.0.0
Got: v15.14.0

This is happening because the package's manifest has an engines.node field specified.
To fix this issue, install the required Node version.
```",
426,main,".github/workflows/release.yml, updateBrewVersion.sh",2023-02-17T11:45:46Z,2023-03-02T16:58:33Z,missuo,feat: automatically update the release version installed by homebrew,"When a new version is released, you have to modify `casks/chatgpt.rb` manually. 

This pr does the job of automatically updating the version.",
425,revert-424-fix/cask_arch_bug,casks/chatgpt.rb,2023-02-17T11:02:22Z,2023-02-17T11:03:21Z,lencx,"Revert ""fix: Hardware::CPU.arch may return arm64""",Reverts lencx/ChatGPT#424,
424,fix/cask_arch_bug,casks/chatgpt.rb,2023-02-17T10:24:29Z,2023-02-17T10:52:55Z,zthreefires,fix: Hardware::CPU.arch may return arm64,,
421,main,casks/chatgpt.rb,2023-02-17T09:01:27Z,2023-02-17T11:11:44Z,missuo,fix: Apple silicon cannot be installed,,
420,patch-2,src-tauri/src/app/menu.rs,2023-02-17T08:05:06Z,2023-02-17T08:10:59Z,vangie,Update menu.rs,rename tray menu item name,
417,patch-1,casks/chatgpt.rb,2023-02-17T03:31:36Z,2023-02-17T06:14:57Z,vangie,Update chatgpt.rb to support version 0.11.0 and compatible with aarch64,"1. Support version 0.11.0
2. Compatible with aarch64",
415,dev,"README-ZH_CN.md, README.md",2023-02-17T01:03:28Z,2023-02-17T01:03:34Z,lencx,readme,,
408,dev,UPDATE_LOG.md,2023-02-16T17:22:39Z,2023-02-16T17:22:46Z,lencx,log,,
407,dev,".github/workflows/release.yml, .gitignore, Cargo.lock, README-ZH_CN.md, README.md, UPDATE_LOG.md, casks/chatgpt.rb, package.json, pnpm-lock.yaml, scripts/download.js, src-tauri/Cargo.toml, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/scripts/export.js, src-tauri/tauri.conf.json, src/hooks/useTable.tsx, src/view/settings/General.tsx, src/view/settings/MainWindow.tsx, src/view/settings/TrayWindow.tsx, vite.config.ts",2023-02-16T16:28:11Z,2023-02-16T16:28:34Z,lencx,chore: mac aarch64,,
397,main,README.md,2023-02-14T23:38:01Z,2023-02-15T06:12:39Z,targed,Update README.md,I added this package to the Chocolatey User Repository and updated the README to include the new way of installing it. I am in the process of getting the latest version approved. https://community.chocolatey.org/packages/chatgpt/,
389,main,src-tauri/src/scripts/core.js,2023-02-14T08:19:48Z,2023-02-15T04:27:52Z,cyhhao,"Fix Chinese input method ""Enter"" ","Fix #369 

ChatGPT 官方前端正确处理了中文输入法的问题，对 keydown 的 event.isComposing==true 进行了判断，输入法状态下按 Enter 不会发送消息。

但是因为在 MacOS 上 Tauri 默认使用的是 Safari 内核，而 Safari 的 event.isComposing 始终为 false，只有通过 keyCode 来判断是否为输入法状态。

因此只要全局阻止 e.keyCode==229 event 传递就可以了",
377,doc,"README-ZH_CN.md, README.md, assets/zsxq-small.png, assets/zsxq.png",2023-02-13T05:49:26Z,2023-02-13T05:49:32Z,lencx,readme,,
376,doc,"README-ZH_CN.md, README.md, assets/zsxq-small.png, assets/zsxq.png",2023-02-13T05:19:27Z,2023-02-13T05:19:35Z,lencx,add zsxq,,
332,patch-1,README.md,2023-02-07T15:41:08Z,2023-02-08T16:55:30Z,vaibhavard,Update README.md to add a webapp option to directly try out your prompts,"added a webapp (created by me) option , so that user could directly try out your prompts without even registering with openai/chatgpt website or downloading desktop app.. Thank you , Your response will be appreciated 😀
Here is how you can choose different prompts in settings after visiting my webapp ![image](https://user-images.githubusercontent.com/57561743/217230015-44702529-ff10-4b0c-88eb-dd10f2e245cd.png) ![image](https://user-images.githubusercontent.com/57561743/217230352-1adf8fc5-d438-4999-af06-35537e801027.png)",
330,patch-1,casks/chatgpt.rb,2023-02-07T09:06:05Z,2023-02-07T14:56:21Z,cnyy7,Update chatgpt.rb to version 0.10.3,"checked locally:
```shell
brew reinstall --cask chatgpt --no-quarantine
==> Downloading https://github.com/lencx/ChatGPT/releases/download/v0.10.3/ChatGPT_0.10.3_x64.dmg 
==> Downloading from https://objects.githubusercontent.com/github-production-release-asset-2e65be/575340621/b 
######################################################################## 100.0% 
Warning: Cannot verify integrity of 'a77703907b8af9fcb951d9e896b73c3424f60799b39b49a6b9a2d2e3fca259e3--ChatGPT_0.10.3_x64.dmg'. 
No checksum was provided for this cask.
For your reference, the checksum is:
  sha256 ""f44838a80844999191a303684fd7ae1811dd2fae6709aebe8bff23c70f9b8a10""
==> Uninstalling Cask chatgpt
==> Backing App 'ChatGPT.app' up to '/usr/local/Caskroom/chatgpt/0.6.10/ChatGPT.app' 
==> Removing App '/Applications/ChatGPT.app'
==> Purging files for version 0.6.10 of Cask chatgpt 
==> Installing Cask chatgpt
Warning: macOS's Gatekeeper has been disabled for this Cask 
==> Moving App 'ChatGPT.app' to '/Applications/ChatGPT.app' 
🍺  chatgpt was successfully installed!
```",
310,patch-1,README.md,2023-02-05T02:51:24Z,2023-02-05T05:04:37Z,rukh-debug,"Aur repo added, for git version of ChatGPT",,
301,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/src/conf.rs, src-tauri/src/scripts/cmd.js, src-tauri/src/scripts/export.js, src-tauri/src/scripts/markdown.export.js, src-tauri/tauri.conf.json",2023-02-03T06:39:43Z,2023-02-03T06:39:50Z,lencx,feat: markdown export (#233),,
292,dev,"AWESOME.md, README-ZH_CN.md, README.md, UPDATE_LOG.md, chat.model.md, src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/scripts/cmd.js, src-tauri/src/scripts/core.js, src-tauri/src/scripts/export.js, src-tauri/src/utils.rs, src-tauri/tauri.conf.json",2023-02-01T17:11:58Z,2023-02-01T17:12:07Z,lencx,fix: export buttons,,
288,dev,"AWESOME.md, UPDATE_LOG.md, chat.model.md, src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/scripts/export.js, src-tauri/src/utils.rs",2023-01-31T17:27:00Z,2023-02-01T02:33:24Z,ShuvangkarPal,Dev,gt e effi,
266,dev,"src-tauri/src/app/cmd.rs, src-tauri/src/app/gpt.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/utils.rs, src/view/settings/General.tsx",2023-01-27T15:10:39Z,2023-01-27T15:10:47Z,lencx,chore: log,,
256,dev,"src-tauri/src/app/cmd.rs, src-tauri/src/app/gpt.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/scripts/core.js, src-tauri/src/scripts/export.js, src-tauri/src/scripts/popup.core.js, src-tauri/src/utils.rs, src/utils.ts, src/view/dashboard/index.tsx, src/view/settings/index.tsx",2023-01-26T16:26:29Z,2023-01-26T16:26:38Z,lencx,refactor: app conf,,
250,dev,".github/workflows/release.yml, README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/scripts/core.js, src-tauri/tauri.conf.json, src/components/SwitchOrigin/index.tsx, src/view/about/index.scss, src/view/dashboard/index.tsx",2023-01-25T12:29:54Z,2023-01-25T12:30:07Z,lencx,feat: zoom level,,
246,dev,".github/ISSUE_TEMPLATE/bug_report.yml, .github/ISSUE_TEMPLATE/build_error_report.yml, .github/ISSUE_TEMPLATE/docmentation_issue.yml, .github/ISSUE_TEMPLATE/feature_request.yml, .github/ISSUE_TEMPLATE/security.yml, .github/workflows/release.yml, .husky/pre-commit, .prettierignore, .prettierrc, Cargo.toml, README-ZH_CN.md, README.md, UPDATE_LOG.md, package.json, rustfmt.toml, scripts/download.js, src-tauri/Cargo.toml, src-tauri/build.rs, src-tauri/src/app/cmd.rs, src-tauri/src/app/fs_extra.rs, src-tauri/src/app/gpt.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/mod.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/scripts/core.js, src-tauri/src/scripts/popup.core.js, src-tauri/src/utils.rs",2023-01-24T19:08:15Z,2023-01-24T19:08:33Z,lencx,feat: awesome,,
240,fix-nav-padding,src-tauri/src/scripts/core.js,2023-01-23T01:29:19Z,2023-01-24T16:31:29Z,agurod42,Add padding to navbar to avoid overlap with window control buttons,"Before:

<img width=""912"" alt=""Screenshot 2023-01-22 at 20 25 47"" src=""https://user-images.githubusercontent.com/13837769/213952090-907c4571-be42-431c-b354-5bd2c8e31c95.png"">

After:

<img width=""912"" alt=""Screenshot 2023-01-22 at 20 25 39"" src=""https://user-images.githubusercontent.com/13837769/213952152-6df1a805-8894-4987-a474-8ffff00042ca.png"">



","It is recommended to add a check domain condition statement, as the application will support loading other URLs in the future.

```js
if (window.location.host === 'chat.openai.com') {
  // code
}
``` | I'll modify it, thanks for your contribution."
234,main,,2023-01-21T02:47:01Z,2023-04-04T07:31:11Z,Centaurioun,Create .deepsource.toml,,
214,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/conf.rs, src-tauri/src/scripts/cmd.js, src-tauri/src/scripts/core.js, src-tauri/src/scripts/dalle2.js, src-tauri/src/scripts/export.js, src-tauri/src/scripts/popup.core.js, src-tauri/src/vendors/jq.js, src-tauri/tauri.conf.json",2023-01-15T10:35:50Z,2023-01-15T10:35:57Z,lencx,fix: slash command does not work (#207),,
212,dev,".github/workflows/release.yml, README-ZH_CN.md, README.md, UPDATE_LOG.md, scripts/download.js, src-tauri/src/scripts/cmd.js, src-tauri/src/scripts/export.js, src-tauri/src/scripts/popup.core.js, src-tauri/tauri.conf.json, src/hooks/useColumns.tsx, src/view/download/index.tsx, src/view/notes/index.tsx",2023-01-15T08:43:26Z,2023-01-15T08:43:34Z,lencx,fix: slash command does not work (#207),,
206,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, package.json, src-tauri/Cargo.toml, src-tauri/src/app/cmd.rs, src-tauri/src/app/fs_extra.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/scripts/cmd.js, src-tauri/src/scripts/core.js, src-tauri/src/scripts/dalle2.js, src-tauri/src/scripts/export.js, src-tauri/src/scripts/markdown.export.js, src-tauri/src/scripts/popup.core.js, src-tauri/src/utils.rs, src-tauri/src/vendors/jq.js, src-tauri/src/vendors/turndown-plugin-gfm.js, src-tauri/src/vendors/turndown.js, src-tauri/tauri.conf.json, src/hooks/useColumns.tsx, src/hooks/useJson.ts, src/hooks/useTable.tsx, src/layout/index.tsx, src/main.scss, src/routes.tsx, src/utils.ts",2023-01-14T18:34:06Z,2023-01-14T18:34:21Z,lencx,feat: export (#175),,
190,fix_export,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/src/assets/core.js, src-tauri/src/assets/dalle2.js, src-tauri/src/assets/export.js, src-tauri/tauri.conf.json",2023-01-12T13:06:07Z,2023-01-12T13:06:16Z,lencx,fix: export (#126 #185 #189),,
